source_id,name,owner,url,kind,load_pattern,schedule_minutes,slo_hours,license,attribution_text,gates,auth,enabled,verify_status,authority_class,base_trust,trust,synced_at,parser,target
nti_tunnels,FHWA National Tunnel Inventory (BTS NTAD FeatureServer),"Federal Highway Administration (FHWA) / Bureau of Transportation Statistics (BTS), US DOT",https://services.arcgis.com/xOi1kZaI0eWDREZv/arcgis/rest/services/NTAD_National_Tunnel_Inventory/FeatureServer,arcgis,snapshot_swap,10080,9490,US public domain,"Federal Highway Administration (FHWA) / Bureau of Transportation Statistics (BTS), US DOT","{""min_rows"": 350, ""required_fields"": [""tunnel_id"", ""lat"", ""lon""], ""max_row_delta_pct"": 10, ""geometry_valid_pct"": 98}",,t,verified,,,,2026-08-19 06:21:04.180483+00,nti,core.tunnels
nws_alerts,NWS active weather alerts,National Weather Service (NOAA),https://api.weather.gov/alerts/active,live_json,event_lifecycle,10,1,US public domain,National Weather Service (NOAA),"{""min_rows"": 0, ""max_row_delta_pct"": null}",,t,verified,,,,2026-08-19 06:21:04.180483+00,,
osm_pois,Derived: OSM POI mirrors (fuel/rest/weigh) from Geofabrik US PBF -> osm.*,truck-intel wave-2 OSM track,,derived,derived,,1080,,,{},,t,verified,,,,2026-07-22 11:42:25.067298+00,,
osm_truck_repair_overpass,OSM truck/trailer repair shops via Overpass API -> osm.truck_repair,truck-intel mechanics track,https://overpass-api.de/api/interpreter,derived,derived,,400,ODbL-1.0,© OpenStreetMap contributors,{},,t,verified,,,,2026-07-27 07:03:05.185491+00,,
osm_ways,Derived: osmium-filtered highways from Geofabrik US PBF -> osm.ways (§3.1-5),truck-intel wave-2 OSM track,,derived,derived,,400,,,{},,t,verified,,,,2026-07-22 11:42:25.067298+00,,
overture_places,Overture Maps places theme (GeoParquet S3) -> staging.overture_places,truck-intel wave-2 businesses track,s3://overturemaps-us-west-2/release/,derived,derived,,1080,CDLA-Permissive-2.0,© Overture Maps Foundation,{},,t,verified,,,,2026-07-22 17:34:55.375522+00,,
pipeline_smoke,"Derived: nightly pipeline smoke test (unit files, flags, install, data freshness)",truck-intel ops track,,derived,derived,,48,,,{},,t,verified,,,,2026-08-18 12:04:40.734725+00,,
quality_nightly,Synthetic: nightly quality ladder (gate 4 + confidence rescore),truck-intel quality track,,derived,derived,,36,,,{},,t,verified,,,,2026-07-22 10:00:18.472117+00,,
quality_rescore,Synthetic: post-snapshot-swap confidence rescore,truck-intel quality track,,derived,derived,,,,,{},,t,verified,,,,2026-07-22 09:30:02.989155+00,,
route_rebuild,Derived: routable graph + limits + viewer geometry from core.truck_routes,truck-intel routing track,,derived,derived,,,,,{},,t,verified,,,,2026-07-27 11:50:30.139178+00,,
_test_green,TEST fresh source,,,live_json,event_lifecycle,10,24,,Test Attribution A,{},,f,verified,,,,2026-07-22 08:29:20.85383+00,,
_test_nokey,TEST keyed source,,,api_keyed,upsert,1440,24,,,{},,f,verified,,,,2026-07-22 08:29:20.85383+00,,
_test_red,TEST stale source,,,bulk_http,snapshot_swap,1440,24,,Test Attribution B,{},,f,verified,,,,2026-07-22 08:29:20.85383+00,,
verify_claims,Derived: nightly re-derivation of every published README/viewer figure,truck-intel ops track,,derived,derived,,48,,,{},,t,verified,,,,2026-08-18 12:03:39.470561+00,,
wzdx_az,WZDx work zones — Arizona DOT (AZ511),Arizona DOT,https://az511.com/api/wzdx,live_json,event_lifecycle,15,24,"AZ state open data (AZDOT 511 / USDOT WZDx ecosystem, open/no-key)",Arizona DOT (AZ511 WZDx),"{""min_rows"": 0, ""required_fields"": [""event_id"", ""kind""], ""max_row_delta_pct"": null}",,t,verified,,,,2026-08-19 06:21:04.180483+00,wzdx,
wzdx_ks,WZDx work zones — Kansas DOT (CARS),Kansas DOT,https://ks.carsprogram.org/carsapi_v1/api/wzdx,live_json,event_lifecycle,15,24,"KS state open data (USDOT WZDx Feed Registry, open/no-key)",Kansas DOT (WZDx / CARS program),"{""min_rows"": 0, ""required_fields"": [""event_id"", ""kind""], ""max_row_delta_pct"": null}",,t,verified,,,,2026-08-19 06:21:04.180483+00,wzdx,
wzdx_mn,WZDx work zones — Minnesota DOT (CARS),Minnesota DOT,https://mn.carsprogram.org/carsapi_v1/api/wzdx,live_json,event_lifecycle,60,24,"MN state open data (USDOT WZDx Feed Registry, open/no-key)",Minnesota DOT (WZDx / CARS program),"{""min_rows"": 0, ""required_fields"": [""event_id"", ""kind""], ""max_row_delta_pct"": null}",,t,verified,,,,2026-08-19 06:21:04.180483+00,wzdx,
wzdx_wa,WZDx work zones — Washington State DOT,Washington State DOT,https://wzdx.wsdot.wa.gov/api/v4/WorkZoneFeed,live_json,event_lifecycle,15,24,"WA state open data (USDOT WZDx Feed Registry, open/no-key)",Washington State DOT (WZDx),"{""min_rows"": 0, ""required_fields"": [""event_id"", ""kind""], ""max_row_delta_pct"": null}",,t,verified,,,,2026-08-19 06:21:04.180483+00,wzdx,
